STN---,WBAN ,YEARMODA,TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT
998227,99999,20100101,81.4,24,9999.9,0,1010.4,24,9999.9,0,999.9,0,8.4,24,13,999.9,   83.3*,  79.2*, 0.00I,999.9,0
998227,99999,20100102,81,24,9999.9,0,1011,24,9999.9,0,999.9,0,7.5,24,14,999.9,   83.1*,  78.3*, 0.00I,999.9,0
998227,99999,20100103,81.3,24,9999.9,0,1009.9,24,9999.9,0,999.9,0,5.4,24,13,999.9,   84.0*,  78.6*, 0.00I,999.9,0
998227,99999,20100104,80,24,9999.9,0,1010,24,9999.9,0,999.9,0,4.4,24,8,999.9,   84.9*,  77.0*, 0.00I,999.9,0
998227,99999,20100105,81.1,24,9999.9,0,1009.9,24,9999.9,0,999.9,0,7,24,15.9,999.9,   83.8*,  78.8*, 0.00I,999.9,0
998227,99999,20100106,81.4,24,9999.9,0,1010.1,24,9999.9,0,999.9,0,5.9,24,14,999.9,   84.7*,  78.8*, 0.00I,999.9,0
998227,99999,20100107,81.5,24,9999.9,0,1009.7,24,9999.9,0,999.9,0,12.8,24,20,999.9,   82.9*,  79.9*, 0.00I,999.9,0
998227,99999,20100108,80.8,24,9999.9,0,1011.2,24,9999.9,0,999.9,0,12.4,24,22,999.9,   82.0*,  77.2*, 0.00I,999.9,0
998227,99999,20100109,79.3,24,9999.9,0,1011.3,24,9999.9,0,999.9,0,8.4,24,14,999.9,   82.2*,  74.1*, 0.00I,999.9,0
998227,99999,20100110,80.1,24,9999.9,0,1010.7,24,9999.9,0,999.9,0,8.3,24,15,999.9,   83.5*,  78.1*, 0.00I,999.9,0
998227,99999,20100111,81.8,22,9999.9,0,1009.9,22,9999.9,0,999.9,0,5.7,22,8,999.9,   84.6*,  79.9*, 0.00I,999.9,0
998227,99999,20100112,81,24,9999.9,0,1011.1,24,9999.9,0,999.9,0,5.5,24,11.1,999.9,   85.3*,  77.9*, 0.00I,999.9,0
